evidence_label,evidence,claim
NOT_ENOUGH_INFO,"Mg has a long residence time in the ocean, and so it is possible to largely ignore the effect of changes in seawater Mg/Ca on the signal.","“To revisit the ocean’s paleotemperatures now, we need to carefully quantify this re-equilibration, which has been overlooked for too long."
SUPPORTS,Coral bleaching occurs when coral polyps expel algae that live inside their tissues.,"When water temperatures become too high, coral becomes stressed and expels the algae, which leave the coral a bleached white color."
NOT_ENOUGH_INFO,"Between 1970 and 2004, global growth in annual CO 2 emissions was driven by North America, Asia, and the Middle East.","It was the post war  industrialization that caused the rapid rise in global CO2 emissions,  but by 1945 when this began, the Earth was already in a cooling phase  that started around 1942 and continued until 1975."
NOT_ENOUGH_INFO,"The oceans act as an enormous carbon sink, and have taken up about a third of CO 2 emitted by human activity.",Just 1.25 per cent of the carbon dioxide in the atmosphere-ocean system has been released by ­humans in the past 250 years.
NOT_ENOUGH_INFO,"The 2007 U.S. change conformed to the Energy Policy Act of 2005; previously, from 1987 through 2006, the start- and end-dates were the first Sunday in April and the last Sunday in October.",The 2007's early start to Daylight Saving Time contributed to global warming.
NOT_ENOUGH_INFO,Observations from Earth have shown seasonal change and increased weather activity as Uranus approached its equinox in 2007.,Pluto's climate change over the last 14 years is likely a seasonal event.
NOT_ENOUGH_INFO,"Solar irradiance is about 0.9 W/m2 brighter during solar maximum than during solar minimum, which correlated in measured average global temperature over the period 1959-2004.",Elementary radiative-transfer calculations demonstrate that a natural surface global brightening amounting to ~1.9 Wm–2 over the 18-year period of study would be expected – using the IPCC’s own methodology – to have caused a transient warming of 1 K (1.8 F°).
NOT_ENOUGH_INFO,"The polar bear tends to frequent areas where sea ice meets water, such as polynyas and leads (temporary stretches of open water in Arctic ice), to hunt the seals that make up most of its diet.","many scientists were surprised when other researchers subsequently found that ringed and bearded seals (the primary prey of polar bears) north of the Bering Strait especially thrived with a longer open-water season, which is particularly conducive to fishing"
NOT_ENOUGH_INFO,"The IPCC provides an internationally accepted authority on climate change, producing reports that have the agreement of leading climate scientists and consensus from participating governments.","The IPCC, the Intergovernmental Panel on Climate Change, which is sort of the voice of the consensus, concedes that there has been no increase in extreme weather events."
NOT_ENOUGH_INFO,"In the North Atlantic, sediments accumulated since the end of the last ice age, nearly 12,000 years ago, show regular increases in the amount of coarse sediment grains deposited from icebergs melting in the now open ocean, indicating a series of 1–2 °C (2–4 °F) cooling events recurring every 1,500 years or so.","First, they concur with the believers that the Earth has been warming since the end of a Little Ice Age around 1850."
REFUTES,"Carbon dioxide has a variable atmospheric lifetime, and cannot be specified precisely.",Excess CO2 from human emissions has a long residence time of over 100 years
NOT_ENOUGH_INFO,"All aerobic creatures need oxygen for cellular respiration, which uses the oxygen to break down foods for energy and produces carbon dioxide as a waste product.",Reefs need carbon dioxide; it’s their basic food.
NOT_ENOUGH_INFO,The West Antarctic Ice Sheet is stable so long as the Ross Ice Shelf is constrained by drag along its lateral boundaries and pinned by local grounding.,[The 1990 IPCC report said] that the Antarctic ice sheets were stable
NOT_ENOUGH_INFO,"A 2002 article published in the journal Climate Research by Michaels and three other scholars has predicted ""a warming range of 1.3–3.0°C, with a central value of 1.9°C"" over the 1990 to 2100 period, although he remarked that the ""temperature range and central values determined in our study may be too great.""","A paper by Ross McKitrick, an economics professor at the  University of Guelph, and Patrick Michaels, an environmental studies  professor at the University of Virginia, concludes that half of the  global warming trend from 1980 to 2002 is caused by Urban Heat Island."
NOT_ENOUGH_INFO,For 2 °C of warming the fraction of precipitation extremes attributable to human influence rises to about 40%.,The human contribution can be up to 30 percent or so of the total rainfall coming out of the storm
SUPPORTS,CO2 emissions are continuing to rise due to the burning of fossil fuels and land-use change.,Multiple lines of evidence make it very clear that the rise in atmospheric CO2 is due to human emissions.
NOT_ENOUGH_INFO,"""Bill C-30: Canada's Clean Air and Climate Change Act"".",The Conservatives' recent budget made no mention of climate change.
NOT_ENOUGH_INFO,"He further stated that a lower limit on ""dangerous anthropogenic interference"" was set by the stability of the Greenland and Antarctic ice sheets.",[The 1990 IPCC report said] that the Antarctic ice sheets were stable
NOT_ENOUGH_INFO,"The last cold episode of the last glacial period ended about 10,000 years ago.",In April the extent of Arctic sea ice was back to where it was in April 13 years ago
NOT_ENOUGH_INFO,This support may be strong or weak.,Evidence is building that net cloud feedback is likely positive and unlikely to be strongly negative.
SUPPORTS,"Increased levels of fine particles in the air are linked to health hazards such as heart disease, altered lung function and lung cancer.",Carbon pollution is a health hazard.
NOT_ENOUGH_INFO,"He said there had probably been no global warming since the 1940s, and ""Satellite data show no appreciable warming of the global atmosphere since 1979.","When you read Phil Jones' actual words, you see he's saying there is a warming trend"
NOT_ENOUGH_INFO,Hard-hit St. Bernard Parish was flooded because of breaching of the levees that contained a navigation channel called the Mississippi River Gulf Outlet (MR-GO) and the breach of the 40 Arpent canal levee that was designed and built by the Orleans Levee Board.,"As president, Obama will immediately close the Mississippi River Gulf Outlet, which experts say funneled floodwater into New Orleans."
NOT_ENOUGH_INFO,"Another lawsuit was filed by opponents of the Budget Repair Bill, raising claims that public workers could lose their jobs to Wisconsin prisoners by officials who will now have greater leeway to assign those jobs previously reserved for unionized employees.",Wisconsin employers have repeatedly said in surveys that our anti-business litigation climate is one of the most important factors affecting their expansion decisions.
SUPPORTS,"Between 1993 and 2017, the global mean sea level rose on average by 3.1 ± 0.3 mm per year, with an acceleration detected as well.","Back in the late 1980s, the UN claimed that if global warming were not checked by 2000, rising sea levels would wash entire counties away."
NOT_ENOUGH_INFO,"The brightening seen at sites in Antarctica during the 1990s, influenced by recovering from the Mount Pinatubo volcanic eruption in 1991, fades after 2000.",The global dimming trend reversed around 1990 - 15 years after the global warming trend began in the mid 1970's.
NOT_ENOUGH_INFO,"In 2011, according to the International Energy Agency, the actual CO2 emissions from electricity generation were 67.32 million metric tons, a share of 36.7% of the countries' total CO2 emissions from fuel combustion.",CO2 emissions from all commercial operations in 2018 totaled 918 million metric tons—2.4% of global CO2 emissions from fossil fuel use.
SUPPORTS,"There is no convincing scientific evidence that human release of carbon dioxide, methane, or other greenhouse gases is causing or will, in the foreseeable future, cause catastrophic heating of the Earth's atmosphere and disruption of the Earth's climate.","In other words, there is as yet no incontrovertible  proof either of the greenhouse effect, or its connection with alleged  global warming."
NOT_ENOUGH_INFO,"The largest and most long term effect of coal use is the release of carbon dioxide, a greenhouse gas that causes climate change and global warming.","Before human burning of fossil fuels triggered global warming, the continent’s ice was in relative balance"
NOT_ENOUGH_INFO,He ruled that the film could be shown to schoolchildren in the UK if guidance notes given to teachers were amended to balance out the film's one-sided political views.,"Al Gore's film was ""broadly accurate"" according to an expert witness called when an attempt was made through the courts to prevent the film being shown in schools."
SUPPORTS,"Ozone acts as a greenhouse gas, absorbing some of the infrared energy emitted by the earth.","Concentrated in the atmosphere, these gases do not allow the warmth of the sun’s rays reflected by the earth to be dispersed in space."
NOT_ENOUGH_INFO,Greenpeace is also calling Wilmar out for breaking the commitment to end deforestation policy signed by Wilmar in December 2013 where they promise to incorporate organic and sustainable ways to collect palm oil.,"Greenpeace didn’t save the whales, switching from whale oil to petroleum and palm oil did"
NOT_ENOUGH_INFO,The Newswatch branding was dropped after 28 years to coincide with the switch.,Dropped weather stations actually show a slightly warmer trend compared to kept stations.
NOT_ENOUGH_INFO,"Specifically, ethanol is a very low molecular weight compound and is of exceptionally low potency in its actions, causing effects only at very high (millimolar (mM)) concentrations.",Small amounts of very active substances can cause large effects.
REFUTES,There are many potential impacts on human health due to the modern cattle industrial agriculture system.,Preventing future pandemics requires more not less “industrial” agriculture
REFUTES,"""US Navy predicts summer ice free Arctic by 2016"".",Scientists project that the Arctic will be ice-free in the summer of 2013.
SUPPORTS,Human influence on the climate system is clear.,Research has found a human influence on the climate of the past several decades ...
REFUTES,Less direct geological evidence indicates that CO2 values have not been this high for millions of years.,"When CO2 levels were higher in the past, solar levels were also lower."
SUPPORTS,"Global warming has led to decades of shrinking and thinning of the Arctic sea ice, making it vulnerable to atmospheric anomalies.","The amount of summer sea ice in the Arctic has steadily declined over the past few decades because of man-made global warming, according to the National Oceanic and Atmospheric Administration."
SUPPORTS,"Thresholds and boundaries The threshold, or tipping point, is the value at which a very small increment for the control variable (like CO2) triggers a larger, possibly catastrophic, change in the response variable (global warming) through feedbacks in the natural Earth System itself.","CO2 limits won't cool the planet, but they can make the difference between continued accelerating global warming to catastrophic levels vs. slowing and eventually stopping the warming at hopefully safe levels."
NOT_ENOUGH_INFO,"A drop of eustatic sea level by about 60 m to 120 m lower than present-day levels, commencing around 30,000 years BP, created Beringia, a durable and extensive geographic feature connecting Siberia with Alaska.","The result did suggest the sea level  was increasing in the western Pacific, but this was offset by a drop in  the level near the Alaskan coast."
NOT_ENOUGH_INFO,"But, more accurately, global warming is the mainly human-caused increase in global surface temperatures and its projected continuation, while climate change includes both global warming and its effects, such as changes in precipitation.","that atmospheric CO2 increase that we observe is a product of temperature  increase, and not the other way around, meaning it is a product of  natural variation..."
NOT_ENOUGH_INFO,"Rarely, at a temperature of around −2 °C (28 °F), snowflakes can form in threefold symmetry—triangular snowflakes.",temperature under the ice is fixed at -2C.  Thus elevated winter   air temperatures
SUPPORTS,"Rahmstorf and coauthors showed concern that sea levels are rising at the high range of the IPCC projections, and that this was due to thermal expansion and not from melting of the Greenland or Antarctic ice sheets.",Observed sea levels are actually tracking at the upper range of the IPCC projections.
NOT_ENOUGH_INFO,"These early towers were positioned either on the rooftops of buildings or as free-standing structures, supplied with air by fans or relying on natural airflow.","""We found [U.S. weather] stations located next to  the exhaust fans of air conditioning units, surrounded by asphalt  parking lots and roads, on blistering-hot rooftops, and near sidewalks  and buildings that absorb and radiate heat."
SUPPORTS,"Many regions have probably already seen increases in warm spells and heat waves, and it is virtually certain that these changes will continue over the 21st century.","Heatwaves occur in any climate, but we know that heatwaves are becoming much more likely due to climate change."
NOT_ENOUGH_INFO,The Arctic Ocean is the mass of water positioned approximately above latitude 65° N. Arctic Sea Ice refers to the area of the Arctic Ocean covered by ice.,"The heat extremes were especially pervasive in the Arctic, with temperatures in the fall running 20 to 30 degrees Fahrenheit above normal across large stretches of the Arctic Ocean."
NOT_ENOUGH_INFO,"This last phenomenon is known as the greenhouse effect: trace molecules within the atmosphere serve to capture thermal energy emitted from the ground, thereby raising the average temperature.",Ocean and surface temperature measurements find the planet continues to accumulate heat.
NOT_ENOUGH_INFO,"Annual rainfall is greater in the eastern portions, gradually tapering off until reaching the Pacific Coast where it increases again.","On the Pacific Coast, a climate pattern that had pushed billions of gallons of water toward Asia is now ending, so that in coming decades the sea is likely to rise quickly off states like Oregon and California."
SUPPORTS,"During the glacial cycles, there was a high correlation between CO 2 concentrations and temperatures.","This provides a direct, empirical causal link between CO2 and global warming."
NOT_ENOUGH_INFO,"The atmosphere and ocean have warmed, the amounts of snow and ice have diminished, sea level has risen, and the concentrations of greenhouse gases have increased ""Myths vs. Facts: Denial of Petitions for Reconsideration of the Endangerment and Cause or Contribute Findings for Greenhouse Gases under Section 202(a) of the Clean Air Act"".",You're going to have an increase in the amount of ice in Antarctica because of global warming.
NOT_ENOUGH_INFO,"The proportions of different oxygen and hydrogen isotopes provide information about ancient temperatures, and the air trapped in tiny bubbles can be analysed to determine the level of atmospheric gases such as carbon dioxide.","When stomata-derived CO2 (red) is compared to ice core-derived CO2 (blue), the stomata generally show much more variability in the atmospheric CO2 level and often show levels much higher than the ice cores."
NOT_ENOUGH_INFO,"Three volumes of an annual peer-reviewed journal, Philosophy and Geography, were published by Rowman & Littlefield Press which later became a bi-annual journal published by Carfax publishers.",Benny Peiser conducted a search of peer-reviewed literature on the ISI Web of Science database between 1993 and 2003.
SUPPORTS,"Their first uses were to measure the changes in gravity from the varying densities and distribution of masses inside the earth, from temporal ""tidal"" variations in the shape and distribution of mass in the oceans, atmosphere and earth.","The latest  measurements involve the use of satellite gravimetry, estimating  the mass of terrain beneath by detecting slight changes in gravity as a  satellite passes overhead."
NOT_ENOUGH_INFO,"Summer temperatures (June, July, and August) average around the freezing point (0 °C (32 °F)).","While summer maximums have showed little trend, the annual average Arctic temperature has risen sharply in recent decades."
NOT_ENOUGH_INFO,"""Response of Arctic temperature to changes in emissions of short-lived climate forcers"".",there is no relationship between temperature and carbon dioxide emissions by Â­humans[...]
NOT_ENOUGH_INFO,"Both Cameron and Theresa May have aimed at helping families achieve a work-home balance and have previously proposed to offer all parents 12 months parental leave, to be shared by parents as they choose.",Any reasonable person can recognize both positives and negatives among the policy proposals of both Tories and Labour.
NOT_ENOUGH_INFO,Models that best match historical trends project a nearly ice-free Arctic in the summer by the 2030s.,People tend to think of an ice-free Arctic in summer in terms of it merely being a symbol of global change.
SUPPORTS,"In high emission scenario, it will be 34 cm by 2050 and 111 cm by 2100.","When accelerating ice loss from Greenland and Antarctica are factored into sea level projections, the estimated sea level rise by 2100 is between 75cm to 2 metres."
SUPPORTS,Increases in ambient temperatures and changes in related processes are directly linked to rising anthropogenic greenhouse gas (GHG) concentrations in the atmosphere.,Increases in atmospheric CO2 followed increases in temperature.
NOT_ENOUGH_INFO,"The aerosols increase the Earth's albedo—its reflection of radiation from the Sun back into space—and thus cool the Earth's lower atmosphere or troposphere; however, they also absorb heat radiated up from the Earth, thereby warming the stratosphere.","Volcanoes have been relatively frequent and if anything, have exerted a cooling effect."
SUPPORTS,"Snowflakes fell on 19 out of 28 days in the Boston, Massachusetts area, setting records in numerous locations with depths up to over 36.0 inches (91 cm) deep in certain places.",Snowfall is increasing in the fall and winter in the Northern Hemisphere and North America with many records being set.
NOT_ENOUGH_INFO,"During a senate meeting on June 23, 1988, Hansen reported that he was ninety-nine percent certain the earth was warmer then than it had ever been measured to be, there was a clear cause and effect relationship with the greenhouse effect and lastly that due to global warming, the likelihood of freak weather was steadily increasing.",Hansen predicted in 1988 the West Side Highway would be underwater in 20 years.
NOT_ENOUGH_INFO,"Since the 2013 Pew survey, which assessed that only 18 per cent of American Jews identify with it, Conservative leadership is engaged in attempting to solve Conservative Judaism's demographic crisis.",We’ve contacted them to ask more details about the size of the Sif.
SUPPORTS,"Human activity since the Industrial Revolution has increased the amount of greenhouse gases in the atmosphere, leading to increased radiative forcing from CO2, methane, tropospheric ozone, CFCs, and nitrous oxide.","Human activities (mainly greenhouse-gas emissions) are the dominant cause of the rapid warming since the middle 1900s (IPCC, 2013)."
SUPPORTS,"Significant reservoirs of methane clathrates have been found in arctic permafrost and along continental margins beneath the ocean floor within the gas clathrate stability zone, located at high pressures (1 to 100 MPa; lower end requires lower temperature) and low temperatures (< 15 °C; upper end requires higher pressure).",“Underneath the permafrost there are sediments full of methane hydrates.
REFUTES,"Human activities affect marine life and marine habitats through overfishing, pollution, acidification and the introduction of invasive species.",Marine life has nothing whatsoever to fear from ocean acidification.”
NOT_ENOUGH_INFO,"The IPCC has published five comprehensive assessment reports reviewing the latest climate science, as well as a number of special reports on particular topics.",The IPCC no longer includes the ‘Hockey stick’ chart in its reports.
NOT_ENOUGH_INFO,"Under Stalin's leadership, the government launched a command economy, industrialization of the largely rural country, and collectivization of its agriculture.","Sea level rise has been slow and a constant, pre-dating industrialization"
NOT_ENOUGH_INFO,"""A Global Threat Emerges"".","Barack Obama told the U.S. Coast Guard Academy ""that the number one threat to the military and the world today is global warming."""
NOT_ENOUGH_INFO,"In 2007, a nuclear winter study, noted that modern computer models have been applied to the Kuwait oil fires, finding that individual smoke plumes are not able to loft smoke into the stratosphere, but that smoke from fires covering a large area[quantify] like some forest fires can lift smoke[quantify] into the stratosphere, and recent evidence suggests that this occurs far more often than previously thought.","A recent study led by Lawrence Livermore National Laboratory climate scientist Ben Santer found that while the models ran hot, the ‘overestimation’ was ‘partly due to systematic deficiencies in some of the post-2000 external forcings used in the model simulations.’"
SUPPORTS,"""'Absolutely' a link between climate change and wildfires, U.N. climate chief Figueres tells Amanpour"".",There is a link between climate change and the NSW bushfires.
NOT_ENOUGH_INFO,"Compared with other low-carbon power sources, wind turbines have one of the lowest global warming potentials per unit of electrical energy generated out of any power source.",Dropped stations show more warming than kept stations.
SUPPORTS,"Theories vary in the extent to which they have been tested and verified, as well as their acceptance in the scientific community.",Different areas of science are understood with varying degrees of certainty.
NOT_ENOUGH_INFO,"He announced an increase in U.S. troop levels to 17,000 military personnel in February 2009 to ""stabilize a deteriorating situation in Afghanistan,"" an area he said had not received the ""strategic attention, direction and resources it urgently requires.""","Barack Obama told the U.S. Coast Guard Academy ""that the number one threat to the military and the world today is global warming."""
NOT_ENOUGH_INFO,Using different satellites from 1992 to 2017 shows melt is increasing significantly over this period.,"Global sea level data shows that sea level rise has been increasing since 1880 while future sea level rise predictions are based on physics, not statistics."
NOT_ENOUGH_INFO,Over the past five decades there has been a global warming of approximately 0.65 °C (1.17 °F) at the Earth's surface (see historical temperature record).,Statistical analysis of the rate of warming over different periods find that warming from 1970 to 2001 is greater than the warming from both 1860 to 1880 and 1910 to 1940.
NOT_ENOUGH_INFO,"By their percentage contribution to the greenhouse effect on Earth the four major gases are: water vapor, 36–70% carbon dioxide, 9–26% methane, 4–9% ozone, 3–7% It is not possible to assign a specific percentage to each gas because the absorption and emission bands of the gases overlap (hence the ranges given above).","Water vapor helps trap heat, and is a far the strongest of the major greenhouse gases, contributing 36–72 percent of the greenhouse effect."
SUPPORTS,"To keep warming below 2 °C, more stringent emission reductions in the near-term would allow for less rapid reductions after 2030.","CO2 levels are rising so fast that unless we decrease emissions, global warming will accelerate this century."
SUPPORTS,"After the election and the Climategate scandal, Palin spoke at a 2010 California logging conference calling studies supporting global climate change as ""snake oil science"".",Gov. Palin ... is somebody who actually doesn't believe that climate change is man-made.
NOT_ENOUGH_INFO,"In addition, there are important differences in the onboard and ground equipment needed to support the two types of missions.","“But the differences between NOAA and NASA aren’t that significant, Schmidt further argued, in the context of the bigger picture."
NOT_ENOUGH_INFO,"The geological record, however, shows a continually relatively warm surface during the complete early temperature record of Earth with the exception of one cold glacial phase about 2.4 billion years ago.","When the internal variability is removed from the temperature record, what we find is nearly monotonic, accelerating warming throughout the 20th Century."
SUPPORTS,The Little Ice Age was a period of several centuries during the last millennium during which global temperatures were depressed; the cooling was associated with volcanic eruptions.,"‘While volcanic eruptions are natural events, it was the timing of these that had such a noticeable effect on the trend."
SUPPORTS,"Each planet therefore has seasons, changes to the climate over the course of its year.",Pluto's climate change over the last 14 years is likely a seasonal event.
NOT_ENOUGH_INFO,"These may use electricity, natural gas, propane, heating oil, solar, or other energy sources.","If every house in Florida had a solar-heated water tank, that would eliminate consumption by 17 percent."
SUPPORTS,"Since the last glacial maximum about 20,000 years ago, the sea level has risen by more than 125 metres (410 ft), with rates varying from less than a mm/year to 40+ mm/year, as a result of melting ice sheets over Canada and Eurasia.",A variety of different measurements find steadily rising sea levels over the past century.
REFUTES,"Carbon monoxide is colorless, odorless, and tasteless, but highly toxic.","“Unlike genuine pollutants, carbon dioxide (CO2) is an odorless, colorless gas."
NOT_ENOUGH_INFO,Less direct geological evidence indicates that CO2 values have not been this high for millions of years.,The final amount of extra CO2 that remains in the atmosphere stays there on a time scale of centuries.
SUPPORTS,"The acceleration of the rate of retreat since 1995 of key outlet glaciers of the Greenland and West Antarctic ice sheets may foreshadow a rise in sea level, which would affect coastal regions.",The acceleration is making some scientists fear that Antarctica’s ice sheet may have entered the early stages of an unstoppable disintegration.
SUPPORTS,"For example, in the study of the origin of the earth, one can reasonably model earth's mass, temperature, and rate of rotation, as a function of time allowing one to extrapolate forward or backward in time and so predict future or prior events.","In looking at Earth’s past, scientists can predict what the future will look like"
NOT_ENOUGH_INFO,CO2 emissions are continuing to rise due to the burning of fossil fuels and land-use change.,It has never been shown that human emissions of carbon dioxide drive global warming.
NOT_ENOUGH_INFO,"More precise data gathered from satellite radar measurements reveal an accelerating rise of 7.5 cm (3.0 in) from 1993 to 2017, which is a trend of roughly 30 cm (12 in) per century.","“Sea level rise, which was occurring long before humans could be blamed, has not accelerated and still amounts to only 1 inch every ten years."
NOT_ENOUGH_INFO,The drought and heat wave combined to make wild fires inevitable.,"North America suffers extreme weather events including wildfires, drought, and heatwaves."
REFUTES,"The average global temperature on Earth has increased by about 0.8° Celsius (1.4° Fahrenheit) since 1880; Two-thirds of the warming has occurred since 1975, at a rate of roughly 0.15-0.20 °C per decade.","""Twentieth century global warming did not start until  1910."
NOT_ENOUGH_INFO,"Bituminous coal, a dense sedimentary rock, usually black, but sometimes dark brown, often with well-defined bands of bright and dull material.","If there were [carbon emissions], we could not see because most carbon is black."
NOT_ENOUGH_INFO,"Less energy reaches the upper atmosphere, which is therefore cooler because of this absorption.","However, satellite and surface measurements observe an enhanced greenhouse effect at the wavelengths that CO2 absorb energy."
NOT_ENOUGH_INFO,"These include carbon dioxide (chemical formula: CO 2), methane (CH 4), nitrous oxide (N 2O), and a group of gases referred to as halocarbons.","In addition, [climate models] ignore the fact that enriching the atmosphere with CO2 is beneficial"
REFUTES,"Scientists have determined that the major factors causing the current climate change are greenhouse gases, land use changes, and aerosols and soot.",The geological history of the planet shows major planetary climate changes have never been driven by a trace gas
NOT_ENOUGH_INFO,The summer shrinking of the ice has been quoted at 50%.,the first scientists to show that the thick icecap that once covered the Arctic ocean was beginning to thin and shrink.
SUPPORTS,"To set these numbers into context, assuming a global population around 9–10 billion by 2050 a carbon footprint of about 2–2.5 tons CO2e per capita is needed to stay within a 2 °C target.","With more CO2 in the atmosphere, the challenge [feeding 2.5 billion more people] can and will be met."
NOT_ENOUGH_INFO,"While models disagree on the strength of any terrestrial carbon cycle feedback, they each suggest any such feedback would accelerate global warming.",Modellers assume carbon dioxide drives climate change
SUPPORTS,"In accordance with the IPCC and other natural gas emissions control groups, measurements had to be taken throughout the pipeline to measure methane emissions from technological discharges and leaks at the pipeline fittings and vents.","The increase in atmospheric methane, a greenhouse gas, in the latter part of the 20th century was explained as coming from expansion of grazing and rice cultivation, but the cause was found to be leaking gas pipelines in the Soviet Union which are now being properly managed and maintained."
NOT_ENOUGH_INFO,One of the subjects discussed in the literature is whether or not extreme weather events can be attributed to human activities.,"While members of the media may nod along to such claims [about changes in weather extremes], the evidence paints a different story"
SUPPORTS,"""An imperative for climate change planning: tracking Earth's global energy"".","Trenberth's views are clarified in the paper ""An imperative for climate change planning: tracking Earth's global energy""."
NOT_ENOUGH_INFO,"In some scenarios emissions continue to rise over the century, while others have reduced emissions.",The warming will slow to a potentially manageable pace only when human emissions are reduced to zero.
REFUTES,"Renewable energy is energy that is collected from renewable resources, which are naturally replenished on a human timescale, such as sunlight, wind, rain, tides, waves, and geothermal heat.",Solar panels drain the sun's energy.
NOT_ENOUGH_INFO,"""Coldest temperature ever recorded on Earth in Antarctica"".",Other parts of the earth got colder when Greenland got warmer.
SUPPORTS,"By 2003 there were 76 million SUVs and light trucks on U.S. roads, representing approximately 35% of the vehicles on the road.","Despite attention on global warming, ""fewer Americans carpool today to work than carpooled in 1980"" and ""SUVs have never been a larger proportion of the vehicles being sold in this country."""
NOT_ENOUGH_INFO,"On 9 December 2009 Sarah Palin said the truncated phrase showed a ""highly politicised scientific circle"" had ""manipulated data to 'hide the decline' in global temperatures"", and at the 2009 United Nations Climate Change Conference in Copenhagen, senator Senator Jim Inhofe quoted Jones, and said ""Of course he means hide the decline in temperatures"".",Scientists tried to 'hide the decline' in global temperature
NOT_ENOUGH_INFO,"Studies of past changes in the environment and biodiversity often reflect on the current situation, specifically the impact of climate on mass extinctions and biotic recovery and current global warming.","Scientific analysis of past climates shows that greenhouse gasses, principally CO2, have controlled most ancient climate changes."
NOT_ENOUGH_INFO,The Little Ice Age was a period from about 1550 to 1850 when the world experienced relatively cooler temperatures compared to the time before and after.,"temperatures rise and they fall, and they rise and they fall… and for the last 400 years we’ve had a gentle warming as we’ve been coming out of the little ice age."
NOT_ENOUGH_INFO,"Rajendra Pachauri, as chairman of the Intergovernmental Panel on Climate Change, told the BBC in December 2009 that he considered the affair to be ""a serious issue"" and that they ""will look into it in detail"".","In an interview with the BBC after the scandal broke, Dr Jones admitted there had been no statistically significant global warming since 1995"
NOT_ENOUGH_INFO,"The ice shields of Antarctica and Greenland are counted as land, even though much of the rock that supports them lies below sea level.","“During ice ages, caused by wobbles in the Earth’s orbit, sea levels dropped more than 400 feet as ice piled up on land."
SUPPORTS,"""Domino-effect of climate events could move Earth into a 'hothouse' state"".",Domino-effect of climate events could move Earth into a ‘hothouse’ state
