text,label
@donbtd @SethMacFarlane He's donated millions toward identifying climate change solutions. This is the opposite of hypocrisy.,Favor
"not too long ago, just a couple of years ago, no scientist would dare go against the crazy climate change hoax but that is all changing, you are correct, the masses is awakening to this scam https://t.co/PztaLTxi1u https://t.co/HHrg8EycSK",Against
"When will voters realise that the Liberal and National Party politicians are climate change sceptics and deniers? When they start voting for the ALP they will be voting for a party which, at least, believes that our climate is changing and that it is caused by human activity. https://t.co/LVddpZqzKy",Favor
"Climate Change :

"" I’m for real. I’m for real! “
https://t.co/mbQ9h9pmgc",Favor
"🌳We are in 
@meditasyonapp ! 
@ImpactHubIST is aware of Climate Change and joins the #StartupEcosystemForestChallenge . @workinlot , how about you?
#climatechange 
@thisisinsider
 🌲 https://t.co/zJJHuV1dUA",Favor
"Ecofascism: The Climate Debate Turns Violent

#ClimateChange 

https://t.co/XG12HmToQE https://t.co/M9K6aYY1nY",Ambiguous
"@KevinSLeahy @KA_Nicholas @LUCSUS_LU @flyingless @theAGU I'm a believer in tech, #EV, elec bike, hp, solar PV &amp; thermal. But I also buy 2nd hand, no meat and not flying anymore. The changes we need require tech AND a change from the model of ever increasing GDP. Worked in aero and don't see a climate friendly solution on horizon.",Favor
@PappyGrande_ @Oddy4real His speaking about climate change with regards to rise in temperature that negatively impact the rise in sea water globally. The coastal cities would be submerged so Why buy a coastal home when you believe the world coastal cities/town would be under water by 2030?,Favor
Students are showing leadership to challenge environmental injustice &amp; climate change -   https://t.co/Bui0QxwOTM,Favor
"10/n

2. We should use trade to pressure countries to act on climate change, but we need to be very careful that it doesn't descend into unjustified trade protectionism. Free trade is good for growth, and has been good also for driving down the costs of low carbon techs.",Favor
.@alexdeakin is reporting from the start of #COP25. We will keep you updated with news from the United Nations #ClimateChange Conference as it goes on. @UNFCCC https://t.co/tOqRSV9FXE,Favor
Climate change hoax COLLAPSES as new science finds human activity has virtually zero impact on global temperatures https://t.co/EQUgyJ3ROe,Against
"@DrJimboNHS Climate change challenge is very serious, I agree, but only lip service is paid to it by people more concerned to seize control of the economy, nationalise large parts of it and trigger a flight of talent and capital . I guess it’s one way of cutting carbon emission &amp; consumption",Ambiguous
"Happy Sunday! Here's our front page.

#Vietnam #ClimateChange #Mekong #charity #environment #ClimateCrisis https://t.co/PS2tBObw1m",Favor
"Meat and bottled drink sales fall as consumers get climate change conscious - https://t.co/jARKC4Ibut

#GoVeg #BanLiveExport #LiveExport #AnimalRescue #AnimalRights #BanLiveAnimalExports #ClimateChange #MeatFree #BanMeat #MeatBan @PMOIndia @NarendraModi",Favor
#AngusHorribilis and #AngryAngusGate Why is this man still in his job??!? He's shown to be a liar by basic fact checks. He used absurd figures of forged document to attack climate change then lied about where the numbers came from. Angus Taylor must go. Jam land? https://t.co/VmQ6I21p0p,Favor
"@skroobler @tommyxtopher That's not even my point. My point is that Global Warming is a international issue, one where it will take everyone actually meeting goals that go beyond even the Paris Climate Agreement. Cooperation is the key, regardless of who the president is and I actually would like to hear",Favor
"@ItsAnam_ is so happy after getting her eco friendly bag and now we both are heading to some jewellery shopping rn at Itawar Bazaar. 

#Ufone #TumHiTouHo #CleanGreenPakistan #ClimateChange. https://t.co/mkUX44lufV",Favor
Police Subjected to Pronoun Police https://t.co/E3OaF2UObY via @powerlineUS I have an easier time believing the world will be destroyed by stupidity like this than by climate change.,Against
The state at this point is at best a mechanism by which we can de-escalate oppression and violence while offering resources for the constellation of local power. There is not going to be a FEMA or a centralized plan of response once climate change really hits the fan.,Favor
"@ScottMorrisonMP criticised @GretaThunberg about increasing anxiety about climate change. Prof Ian Hickie states that people anxiety is being increased by politicians lack of leadership during this bush fire crisis. I believe the Professor.
https://t.co/uVsBkpL5H1",Favor
"Impressed by:
https://t.co/bjlywJYiKZ
What is your task for #future?
#ClimateChange #RenewableEnergy #smartgrid #Earth for #mother of #nature",Favor
This isn't the way to fight climate change... https://t.co/nB3Iozoxhm,Favor
"re: reforestation - That's the thing, #ClimateChange activity often have the same goals as capitalism. #climate #ClimateEmergency #attackglobalwarming https://t.co/lBbFPJXP08",Favor
"@RyanAFournier And he does many more things than mentioned here. But the left hates all of these things. If he were crusading for a climate change agenda or open borders, he'd easily make the cut.",Ambiguous
@seanhannity I'm sure that happened in Venezuela but that wasn't because of climate change. These crazies need to stop.,Against
"Brian Mulroney urges Canadian politicians to take action on climate change, despite political risk | National Post https://t.co/BCb0jlPyob #ClimateChange #CPC #BrianMulroney #cdnpoli #Barrie #snrtg",Favor
@iMisred @ajplus This is about global warming and climate change which are real and indeed the water levels have significantly dropped at Vic Falls. This report is 100% factual and correct. Manje I see some varakashi are catching feelings. Calm down hazvina kunzi zvakonzerwa naDambudzo,Favor
"This is being used to call for ""action on climate change""
People, you reduce impact of bushfires by proper land management, clearing scrubland, building fire breaks, placing electric cables where they won't be hit by lightning, not by buying electric cars
https://t.co/eIFLnFmn2c",Favor
Yes @MassiveAttackUK  - #ClimateChange change: Plan to cut carbon emissions from concerts https://t.co/kDnuxmhE6e,Favor
"Climate change is UN Agenda 21 communism stealing land from land owners. Stop by checking out Glenn Beck Agenda 21. Get this climate change our of your towns, city and state! https://t.co/GrA3k55zLZ",Against
"Throughout the day, I will be sharing some of my efforts in Congress to combat climate change.",Favor
"Could short-term changes in cultural attitudes on climate cause shocks to corporate balance sheets and governments alike, long before the physical impacts of climate change are felt? Read Climate and Culture: Shocks Ahead? to find out: https://t.co/YeT9zhXtuZ #ClimateChange https://t.co/iD13wDzjt5",Favor
"Akaash Krishnan is the founder of @climatestrikenv, a group of young people who want to see federal policy passed regarding climate change. He says the young people around him are scared for the future but are taking action like by upcycling clothing: https://t.co/QPTPEESOEn https://t.co/xVOKYmCmOV",Favor
"@eesionline It is indeed true as they say that the best time to combat climate change was a few decades ago, and the second best time is now.",Favor
"The good news: 79% of U.S. adults and 86% of teenagers accept that humans are causing climate change, according to polling from @washingtonpost and @KFF. The bad news: Another fifth of the population does not: https://t.co/G4spHW0CCM #ClimateChangeIsReal https://t.co/EyxTrwz1X0",Favor
"Aziz Rabbah, Ministry of Energy, Mining, and Sustainable Development of Morocco sees #ClimateChange and #RenewableEnergy as opportunities for developing countries and  refers to it as Climate Chance. #COP25 #WeAreTransport https://t.co/Fihe9vBz4A",Favor
"Meanwhile, events connected to #ClimateChange are moving in a way that *will affect absolutely everyone.

How Climate Change Could Jam The World's Ocean Circulation https://t.co/9ptPyGEWbq via @YaleE360",Favor
@SteveMCorley @AndyOstroy Man cannot impact climate change more than .01%. It is a hoax.,Against
"@siemens, don't support the controversial and dangerous Adani coal mining project with your infrastructure! #StopAdani #fossilfree https://t.co/O58UmnDp33",Favor
@JimBair62221006 Same situation French Riviera #Cannes winter storm barricade #ClimateChange Adaptation https://t.co/SYmqCf3Ptr,Favor
"IEA: “Hard-Earned” Progress At Removing Fossil Fuel Subsidies Under Threat https://t.co/ePtErR9YwV, reuse and wash all garbage, #globalwarming",Favor
Yes!!! Time is trying to publicize climate change since so many governments (including our own) refuse to believe it! Any publicity for the climate crisis is good publicity!! https://t.co/kPMbGdupQv,Favor
"Mountain goats threatened by #ClimateChange
https://t.co/7FwYshXdfe",Favor
"With respect to climate change.. i really do worry about the real work being done especially among the poor and underserved communities.

The things i see being heralded ehn... I worry about its impact and reach.

I think we do more PR than actual work",Favor
"@infoukphotodis1 To be fair, Angela Rayner was on Question Time a few nights ago. Rebecca Long Bailey did the climate change debate on channel 4.

Kinnock is probably too busy doing another documentary slagging Corbyn off while doing absolutely bugger all himself.",Ambiguous
Emergency fire warnings issued in NSW as winds pick up 🇦🇺 #Australia #澳大利亚 #NSWbushfires #bushfires #ClimateChange https://t.co/KsOXBWHvg7 https://t.co/NutqSc3q2G,Favor
"Malcolm, you're at it again promoting emotional rubbish about the threat to Australian lives in the face of bushfires because of of climate change. No comprehension of the ecology of fire since it emerged 25 million years ago. Just pathetic.",Against
It's a jungle out there. But Christopher Hohn wants companies to come clean about global warming https://t.co/HnnHLLT2ix via @bopinion,Favor
"@theblaze This ""fear mongering"" Global Warming is like Y2K on steroids! 
The Neo-Pagan cultic ""Nature Worshippers"" and ""Chicken Little"" Globalist control freaks are going for the Gold!
This is a ""Cash Cow"" for the Globalists and (False Light) Liberation Theologists to be sure!",Against
"In this village on the northern slope of Alaska, even the dead are affected by climate change.
The average temperature in this region is already 4° above pre-industrial. https://t.co/I7LdRdLck3",Favor
"@gjvu ""Has global warming already arrived?""
It sure looks like it.
And if you prefer the UAH V6.0 measurements (as indicated in the article)
https://t.co/4QnL1Dq2zl https://t.co/nDlPKsN7Sj",Favor
If you want your vote to benefit the most people today for the longest period of time then #vote for #nature #vote against #climatechange #vote for the #environment and #vote for the most #vulnerable in #society #GE2019 #GeneralElection2019 #iVoted,Favor
"@JohnKerry There he is, the man who wants to make every person aware of climate change.  King of the SUV and mansions. Go away and take quid pro Joe with you. Both of you guys are total frauds.",Ambiguous
Climate Change and the Palestinian Authority https://t.co/sWx4YkXRUq,Ambiguous
Great to see @GovJanetMills walking the talk on #renewableenergy #ClimateAction Keep up the great work!  https://t.co/m9f4fVwB0J @NECEC @MaineRenewables @NRCMenvironment @AcadiaCtr,Favor
"@_EmmaNavarro @EIB .Thanks NB Burning hi-carbon fossilfuel plastic/biomass won't decarbonize world economies https://t.co/7YWloAeHCD #InvestmentCOP #ClimateAction.
#COP25 #TimeForAction #CDPcities #SmartCities #energyefficiency #ESG #CSR
#cleantech
#OPEC #ADIPEC #partnerships #financialdomination",Favor
@BBCWorld This is not the bushfire season! We are only 11 days into that. It’s the season of climate change.,Favor
"@rachshabi @rutheliz6 They can’t say “the previous government” anymore. 
So they run the political story back nine years and claim that we didn’t do enough to tackle climate change under a Labour Govt... 
so when you say, but you’ve been there 9yrs and people power has banned plastic straws in 1 yr",Favor
Ocasio-Cortez is pushing the @UN Agenda 21/2030...Depopulation...couched in the Ed Markey Green New Deal...Climate Change is Depopulation,Against
"Coral reef tourism, wild capture fisheries &amp; marine aquaculture are the largest sources of ocean-based revenue &amp; jobs. New #HLPBluePaper sets out solutions to protect these industries from climate change while protecting #OceanHealth: https://t.co/7Q0IFUVgAk #OceanAction #COP25 https://t.co/dok7WZKXfO",Favor
"@stphnmaher Somewhere, somehow #JoniMitchell is going to show up in both sides now, Conservative illusions we recall, they really don’t know #climatechange at all.",Favor
"From tackling climate change to giving marginalized people opportunities to improve their own futures, 63 @UNVolunteers currently serve w/ @UNDP across #SriLanka.
Read our story 'Volunteering for #ClimateAction' as we celebrate #IVD2019 w/@UNVSriLanka 🌎: https://t.co/NchoQPN5RT https://t.co/yeRo7fbvb1",Favor
@EdMarkey Climate change is a hoax for more government control,Against
"@chriscartw83 I absolutely agree. I believe the inaction is multilayered but here are some thoughts. Little is published in (online or otherwise) media about climate change, unless you go out and look for it. At least not to the degree that advertising is.",Favor
"Latest DHM research showing the differences in priorities among Oregonians. Democrats care about climate change, health, environment, and housing for people. Republicans care about money, money, guns, and money. #VoteDemocrat https://t.co/qyIcMO0p9Z",Favor
@TIME @Acosta @GretaThunberg Sorry to say this young lady is brainwashed most likely by her parents regarding global warming or as it is now referred to as climate change.,Against
"Hard Brexit economic and social decline,caving into Trump,no action on climate change OR transformational action on social and climate emergency,end to austerity, economic recovery via investment and no hard Brexit. Plus Corbyn better person than Johnson in every conceivable way!",Favor
"@thesundaytimes #Democracy: #ThePeople get the government they deserve. In times of #climatechange &amp; #innnovation 51% majorities will Not work. #QueenElizabeth has been a better  head of state than all elected German Presidents after #WW1. However,keyquestions need broad consens. #Sundaythoughts https://t.co/G4kREpKna8",Favor
"Position announcement: Consultant to help design, launch, and manage a participatory grantmaking portfolio to support deeper and more meaningful connections between advocacy/policy orgs focused on climate change and the people their work impacts. Job post: https://t.co/Lhmbgu3ZXJ https://t.co/gbotyyESAc",Favor
Global Warming: Effects and Causes https://t.co/zzE8jhJrDb,Favor
Humans are far too smart to let #ClimateChange destroy the lives of hundreds of millions of people. It just depends whether we want to overthrow the greedy and allow the research and development of sustainable technology to take over! #ClimateEmergency #ClimateCrisis,Favor
"Morning! In today's Opinion pages:
- @raghidadergham: Iranian regime’s priority is quashing regional protests
- @ddamned: To tackle #climatechange, look to the market
- @DrJustinThomas: Buddy benches are for grown-ups too
- Editorial: London attack - early release proved fatal https://t.co/GNFYffath7",Favor
"You can donate money to help Science for Wildlife rescue the koalas and continue the vital work mapping the Blue Mountains koala population. #climatechange #donation #AustraliaBurns #bushfiresnsw #climateemergency
https://t.co/dgmhAoGLN6",Favor
"@Luisamneubauer @FridayForMadrid @FridayForFuture @rikkednielsen @NakabuyeHildaF @louismotaal @350 @GretaThunberg 500k people with no jobs and nothing better to do today so why not

#ClimateLies #ClimateHoax #ClimateHysteria #ClimateCultists #Hypocrisy",Against
"Hey @USCIRF what should I have for lunch ,do you have a pre approved list or something coz if I eat whatever I like ,you guys might say it's against international norm and put sanctions on me citing global warming or something.
So,please 🙏
https://t.co/JRFViXLJJo",Favor
@Crypto_Horse28 @smokenashes911 @kylemusic87 @katrinabhaydon Has every scientist come to the same conclusion on climate change?? You should probably do a little more research &amp; avoid google if you want to find scientists on both sides of the debate. Google wont show the ones that disagree with the cult,Against
Can we get climate change for all who want it?,Against
Climate change takes center stage at this week's #EUCO summit — follow our live blog for more https://t.co/VgHFMT6DcX https://t.co/Nnyh8aL8GM,Favor
"@eschwarzkopf March, 2015. Climate change is melting the glacier fast. https://t.co/y8hokZjKA4",Favor
"@VP @realDonaldTrump I thought the president already said we were energy independent. Instead of accelerating #ClimateChange &amp; hurting the environment with fossil fuels, we could have been employing people researching, manufacturing &amp; installing renewal, clean energy like other countries are doing.",Favor
".@TheHenryEpp
 with #VT headlines:
- Poll Finds Concern About Climate Change 
- Residents Say Lake Pollution Has Worsened https://t.co/DIlEJQUCjo
-Welch Supports New Trade Deal #vtpoli 
@VermontPBS https://t.co/ExP1KJIiso",Favor
"@hamishNews @SophieTrevitt @RNBreakfast * correction TPP no longer in place. 

Do you think its linked to secret trade deals (fossil fuel) that our government has agreed upon with foreign countries?

Climate change ref. is being removed from all USA government trade deals. 

Need to get to the bottom of this #auspol",Favor
"Follow live from #COP25: The High-Level Event on Global #ClimateAction shows how actors around the world plan to reach net-zero carbon emissions by 2050. 

Featuring: A live conversation between @antonioguterres &amp; @astro_luca  from the @Space_Station https://t.co/TcAkfblOeY",Favor
"@mctician @BobChap4 How do you think ""weeding-out"" genetic diseases would impact population growth considering? Less death from genetic disorders = more people. Last time I checked, isn't overpopulation the main reason for climate change? Unless you manage to genetically modify us to not use resourc",Favor
"It’s Independence Day / #itsenäisyyspäivä in #Finland, and we are here on the steps of Parliament demanding #climateaction to keep this country clean and beautiful! Million? Nyt Nyt Nyt!

#ClimateCrisis #FridaysForFuture #ClimateStrike #NytOnPakko #IlmastoKriisi @GretaThunberg https://t.co/krL654yIJn",Favor
"With temperatures in the Sahel expected to rise 1.5x faster than the global average, @WorldBank’s @cbodewig explains how governments in the region are helping poor households adapt to climate change https://t.co/ngb8sh8Mvq",Favor
@myfinewords Globalist pushing hard climate change 😡 and they know exactly how to wash brains to low IQ people,Against
"Climate change is a GLOBAL issue. 

It is affecting especially the most vulnerable and could push an additional 122 million people into poverty!

We can all take #ClimateAction to avoid this from happening! 

#COP25 https://t.co/pszl2qzcP0",Favor
#BeAVoter We face many long-term challenges like climate change; how the NHS and Adult Social Care can respond to population change; getting the global economy to work for all. Long-term solutions need consensus. Consensus means cross-party cooperation. So we need to... https://t.co/kPzv5JMFFw,Favor
"Penelope, Norwegian climate activist: “I am passionate about climate change because I love life! And I fight for what I love.” #MyPlanetMyRights #COP25 https://t.co/DMm3A0QUoH",Favor
striking for the climate in Sackville today! Thank you to Sackville Youth Climate Change Coalition for leading us https://t.co/eKiOKvqfvo,Favor
Scientists have gotten predictions of global warming right since the 1970s https://t.co/e4XbT29ubF via @voxdotcom,Favor
"We do not get a second chance on #climate action 
We do not have a second Earth
#COP25 another summit another betrayal as Govts behind closed doors water down even modest #climateaction measures in favour of Big Oil destruction of our climate our Earth  https://t.co/MJZVndcXXp",Favor
"#GrandSolarMinimum (Nov 29, 2019 EDN): Why did they destroy all the historical data? Trudeau’s environment dept discovered scrapping real climate data for models

https://t.co/GdisCM5ISx

#ClimateEmergency #ClimateCrisis #ClimateChange  #GlobalCooling",Favor
"@rousse61 @emrazz Yeah, sure, and climate change is a hoax and people never walked on the moon. Jfc🙄",Against
How #Israel Became A Leader In #Water Use In The #MiddleEast #climate #drought #climatechange #climatecrisis https://t.co/kIJ9AGgqtZ https://t.co/Cavs5iVqvw,Favor
"@janhaverkamp @FORATOM_nuclear @COP25CL @Energy4Europe @Nuclear4Climate @Greenpeace @greenpeaceSE ""Not acknowledging nuclears past and current role to mitigate climate change [...]."" is what i said, i did not say countries so far gone nuclear for climate change mitigation.

It HAS contributed to mitigating climate change.",Favor
"@BBCNewsnight Excellent interview @Janefonda 
A credit to humanity #ClimateAction",Favor
"@SenSchumer Yeah, Greta and students have been conned by the 'I Want Carbon Taxes' politicians, just like yourself.

I know for a fact that you do not live like Climate Change is a Real Issue. Reason; because it is not. GFY.",Against
"Subpod Grow is a waste busting, plant growing powerhouse that transforms your food waste into living soil without the hard work https://t.co/9b4zULaiZY #sustainable #ecofriendly  #sustainability #environment #zerowaste #sustainableliving #climatechange https://t.co/U6a8A0VXyT",Favor
Talk about “climate change”. #BoreMeIn4Words,Favor
"84 degrees in December.  

When does the panic happen for everyone else?

#ClimateChangeIsReal 
#ClimateAction https://t.co/nS2bgAQTr8",Favor
"Thru' @thetimes one learns that #GretaThunberg is sailing through transatlantic storms to reach the UN climate talks in Madrid — but her crew flew. 

Priceless. #ClimateChange",Favor
"#COP25: #UN #climatechange #conference, 5 things you need to know #COP25Madrid https://t.co/eZuGW9r5fi",Favor
"Keep green and keep our planet clean with #GoByHolidays

#saveearth #gobygiveaway #nature #gogreen #environment #ecofriendly #zerowaste #climatechange #savetheplanet #savetrees #savenature #earth #savewater #india #savetheearth #love #green #eco #life https://t.co/djTlqml2hR",Favor
"France to require #Insurers, banks to run #ClimateChange stress tests in 2020. https://t.co/oso9dCIGOu #KPI",Favor
"#ClimateChange making it harder to produce viable seeds, scientists say #water 🌏 💧 https://t.co/yEKDmVGDXL",Favor
"@L117AA I got a feeling this crooked actor is involved ""funding in lighting these fires""hard to prove but his name pops up on every major fire, like the #AmazonFires where he got accused for "" funding"" 
He's a #ClimateChange salesman, so he's probably involved even on #ClimateEngineering",Against
"think it's all gonna make sense some day, from: Greta Thunberg is a Vicious Little Retard, Everyone Knows Global Warming is a Doomsday Hoax

Andrew Anglin
Daily Stormer
September 21, 2019
https://t.co/COn35HSxNN https://t.co/B7cHTjzB59",Against
"Join live here on Twitter at 13:15 (CET) as #COP25 President @CarolaSchmidtZ and @UN #ClimateChange Executive-Secretary @PEspinosaC talk to the press in Madrid. They will be joined by @LorenaAguilarCR, Vice-Minister of Foreign Affairs of Costa Rica. 

#TimeForAction https://t.co/LFcKC0evu2",Favor
Exxon Mobil has prevailed in a lawsuit accusing the energy giant of downplaying the toll that climate change regulations could take on its business. https://t.co/C6Il34fkwd,Favor
@thehill Enough of the hoax climate change hoax Democrats are good at making people believe in ridiculous hoax created in Democrats minds! Democrats are viscous delusional politicians who can’t be trusted!,Against
"Climate change is not a fancy term anymore, it's REAL. We need to act. And besides this we need peace makers over professionals. https://t.co/0mMSHU6meu",Favor
"LABOUR beat the GREENS on Climate Change! WOW!

The Friends of the Earth league table marks the parties on 45 policy points:

Labour - 33
Greens - 31
Lib Dems - 30
Conservatives - 5.5

https://t.co/nK2TX0qMYI

#SackJohnsonSaveBritain #SackJohnsonSaveTheWorld",Favor
Obviously working on his climate change policies then!!  #ToriesDontCare  🌹✊ https://t.co/wVZSM3njDY,Against
"#ClimateAction is needed now. And it has to be conflict-sensitive to ensure well meant interventions do not trigger instability. The @WaterPeaceSec supports actors to see the risks, understand them and identify optimal solutions. #ClimateDebate #COP25 #Water #Conflict https://t.co/oHM8nmGBVi",Favor
"Hungary, Czech Republic, and Poland demand #nuclear be included in EU Climate deal, as an #energyjustice issue: 

""We cannot allow Brussels bureaucrats to have poor people and poor countries to pay the costs of the fight against #climate change,"" https://t.co/JKUiAJaqSy",Favor
Amazing visualisation of how global warming has changed the #planet since your childhood https://t.co/E7pbdO1dHX,Favor
"In a time of crisis, what does it mean to have 'hope'?
We ask Clive Hamilton and Robyn Williams.

#ClimateCrisis #Environmental  #climatechange #population
#science @bec_colvin @kateauty 

https://t.co/sTD09YqMGr https://t.co/7Opg9qlAs1",Favor
#ClimateChange &amp; #ClimateCrisis is real.The daily smog in Australia is a wake up call.Choosing economic growth over envt is beyond stupidity.U can’t eat petrol.U can’t eat mining products.U can’t eat money.Politicians need 2 do what’s right for everyone not just their rich donors,Favor
"Mr @ScottMorrisonMP,  We may be a lower carbon emitter than China or the USA but I am ashamed of Australia’s lack of leadership on @Climate change. For a start how about at least reducing our total carbon emissions year on year?",Favor
"2/2 We get a state Labor gov and they go after rural education. We can’t have livestock cos methane and we can’t have crops cos Glyphosate (both junk science which your paper seems to have no problem distributing)

Give us an option to vote for climate change  action and we will.",Favor
More than 2000 koalas feared dead in bushfires https://t.co/FBIJwLpmwu #koalas #ClimateChange #bushfiresNSW,Favor
GOP Feeling Pressure Over #ClimateChange in Southern States | EfficientGov https://t.co/btf2i6WSwX https://t.co/abnafoiAGf,Favor
"Perhaps the biggest crisis in 2019 is the “Call for Climate Change” – the small spark ignited by the 16 year old Swedish Teen, Greta Thunberg turned into blazed wildfire which forced all the national, international and world leaders to focus on the burning future of the Planet.",Favor
"#ClimateApartheid already there but hard to notice for the elites in their #comfortzones, but they visibly protect their privileges and climate destructive businesses while feeding #populism+ #fakenews: #climatechange denial, #fascism, #racism, #misogyny.
https://t.co/vreuRXdL3S",Favor
"Air Quality drop, Amazon forest fire, Sydney forest fire, global warming etc. This world is going to end is not a myth.",Favor
"Experts say that a groundbreaking investigation by @chrgovph (Philippines #HumanRights Commission) into #climatechange causes &amp; impacts may be a ""watershed moment"" for #climatelitigation against #fossilfuel giants. https://t.co/zkX8ZSS0j2 #BillBigOil #cdnpoli #COP25",Favor
@Talk_To_The_Hat Sort of the same way that when people get divorced there should be a single man and a single woman and yet there seems to many more single woman than men 🤷‍♀️.   Either that or global warming,Ambiguous
Let's hope this is more than just another talk fest - although I'm not optimistic. #ClimateChange #TimeForAction https://t.co/KgAfujkENe,Favor
"#ClimateChange , fire and politics: Perhaps there should be an exam for candidates.A depressingly accurate description of the history of ineptitude and incompetence of many of the politicians we elect and pay to manage the affairs of this country #auspol 
https://t.co/GoMeQbxpnx",Favor
