text,label
The average electricity consumption per server operated by the Transformation and Operational Efficiency Department was halved between December 2013 and December 2017 from 0.427kWh/server to 0.214kWh/server.,yes
"For example, they've done a fabulous lighting package that has really brought expenses down.",no
"It continued with the double-digit growth in COOLIEF, which I'm very happy with.",no
"The Daiwa Living Companies are also moving into the energy field as a way of expanding their sphere of operations, and hope to harness this toward the goal of providing more comfortable daily lives for rental hous- ing tenants.",no
"The first of which was an engine plant expansion, which came in onboard on Q1.",no
"These include a loss of jobs at the fossil-fueled plants and in the broader economy, tax payments that support public services, including education, and economic activity that is supported by the plant’s ecosystem.",no
Not -- there is not a silver bullet for what the changes in gross margin will be.,no
"In September 2020, BBVA, together with other financial institutions, published a joint methodology to align its credit portfolios with the objectives of the Paris Agreement on climate change.",yes
"So we are seeing a lot of opportunities there, where we have been designing to electric buses, e-bike chargers and scooters and so on.",no
TOTAL performs sensitivity tests to assess the ability of its asset portfolio to withstand an increase in the price per ton of CO2.,no
And that's honestly most markets in the U.S. So that is a fact that we think there is opportunity for us to bring some tuck-in acquisitions that help us get to our goal of 70% and beyond.,no
"And then your second question, on the concession, the growth in the concession per cap in Q4, as has been the case throughout this year, there's really three buckets to that increase.",no
These positions are only included in the liquidity risk calculation after applying conservative discounts.,no
We're committed to making sure that our expenses are flat to last year.,no
"They have until January 21 to set new rates, if they choose to take that long.",no
Our thermal power plants Broadly based generation portfolio forms an essential mainstay of the electricity system provide the necessary system services to compensate for the fluctuating feed-in from wind and photovoltaic systems (PV).,no
This COP 20.4 billion investment was also a contribution to the reactivation of the textile industry in our country.,no
"Such roads would make allowance for users and their varied means of transport, and would themselves be sources of energy or information.",no
"(2) GW of green energy assets reflect 100% generating capacity of each asset, not the proportion owned/managed by Macquarie.",no
"CGD S.A. In 2018, CGD set the goal of reducing its total GHG emissions (scope 1 and 2) by 43% by 2021, compared to 2015.",yes
This evolution will have a significant impact on the reduction of the company’s carbon footprint.,yes
"This process is a game changer for our industry, making carbon emissions-free aluminium production a genuine possibility.",yes
We advocated for and supported the UK Government’s ban on new petrol and diesel cars and light vehicles from 2030.,yes
"Under the criteria used by the rating agencies, ratings assigned to Brazilian financial institutions, including Itaú Unibanco, are constrained by the grades assigned to the Brazilian sovereign rating.",no
"Well in a -- that's somewhat somber but, nevertheless, realistic sense, something like Remodulin is a luxury good for people with pulmonary hypertension because it is an advanced therapy, it's pricey therapy.",no
"Through the creation of value, the Yokogawa Group has the broader aim of benefiting society by addressing environmental and other issues in the industries that it serves.",yes
"IAG is committed to mitigating the impacts of hazards which have uncertain but potentially highly negative outcomes, on the environment or people, if they occur.",yes
"Awards In 2017/18, National Grid won UK Business in the Community’s Award for Environmental Leadership in recognition of our work to reduce our carbon footprint during construction.",yes
RUSAL submits regular GHG emission reports from its productions to the Russian Meteorological Office to register emissions in the National Cadastre of Anthro- pogenic Emissions from Sources and Absorption by GHG sinks.,no
"C and D batteries are performing quite well for us, we're delighted with progress we're making on rebuild of the A battery, and are confident in what will be a good campaign here in 2019.",no
The way we to think about it is we are rolling out our new 65-nanometer low-density products here at the end of Q4 and right through the first half of next year.,no
So they're going to have to ultimately import probably additional soybean oil or palm oil or canola oil or something to feed the people.,no
"In terms of new business lines, EDF is aiming to have a portfolio of 1 million off-grid kits by 2030 and is pursuing the development of new markets such as microgrids, smart grids, storage, hydrogen, mobility, smart cities, etc.,",no
"Strategy remains the same, really, for any of these issues that are in front of us; and that is to represent the interest of our customers, to provide the cleanest, most reliable most economically sensible product available.",no
"In 2019, a requirement for farms to allow soil regeneration was added to the Standards.",yes
"Overseas, electric power, Purchased heat energy Japan, renewable energy 3 4 Annual Trend in heavy Water Usage and Discharge as Waste Japan, gas* Japan, oil, etc.*",no
"Disposals On 18 December 2020, the Group completed the sale of a 12% interest in the Grosvenor mine (Metallurgical Coal) for $0.2 billion, equalising the ownership across its integrated operations at Moranbah North and Grosvenor.",no
"There is several -- there is like 2 OFS that are basically 100% electric, and they use our pumps.",no
Achieving this aim will provide the Group with an attractive portfolio to respond to the growing customer demand for battery-electric and plug-in hybrid vehicles.,no
The CO2 savings achieved in recent years have proved to be much larger than expected.,yes
We may need to more actively show stakeholders the extent to which Konica Minolta was able to grow based on these initiatives.,no
"By being environmentally and socially responsible, the Group will continue on its path to achieving excellence and innovative goals.",yes
We continue to minimise the environmental impacts of our packaging following our 3 Rs principle:,yes
Indeed it is the public sector which has increased its debt.,no
"And we've said in the past, 80% to 85%, I would say we're at 85% or slightly more that would burn in the next 12 months, with only a little bit of it going beyond that.",no
"Sao Paulo state does not have a good potential for wind power and also only a small remaining potential for hydro projects, directing the new increase in the state for thermal capacity.",no
"Again, offering them better energy efficiency and space savings or other functions on the board.",no
We are developing new solutions that meet increasing customer demand for 24/7 renewable power and greater energy efficiency.,yes
"So you don't have -- even though there may be more inflation out in the market, the PPI is getting closer to reality at least.",no
The cumulative CO2 emission reduction per unit of measure compared to 2010 reached 14% at the end of 2015.,yes
We saw that because restriction in cash withdrawal from banks and from ATMs were instituted as the government tried to catch up with the demand for cash with the new notes that they were printing.,no
NIB reports on the impact of the projects that are financed by the proceeds of NIB Environmental Bonds on an annual basis.,no
"However, following on from our work with the universities, we will be testing bio-based and recycled plastic films for secondary and tertiary packaging in several markets during 2020.",yes
"But truly, when you look at Justice, you've got to look at it for two years.",no
"For many years to come oil and gas features in the energy mix in the IPCC’s suite of Paris-consistent scenarios, albeit progressively decarbonized and ultimately offset; the exact trajectory for oil and for gas varies from scenario to scenario.",no
"To operate our green CHP plants even more efficiently, we are rolling out a comprehensive digitalisation programme at our power stations, allowing us to further optimise generation and reduce costs.",yes
"A number of the cost reductions outside labor relate to, for example, large infrastructure plays are moved to the cloud as we move out of our owned data farms.",no
"Our featured innovations included the washing machine with a synthetic microfiber filtration system that filters microfibers which enter into the oceans and seas, at a rate above 90%;",yes
"In connection with our plans to launch flights to London in 2021, we amended our purchase agreement with Airbus in April 2019 to convert 13 Airbus A321neo deliveries into A321 Long Range (“A321LR”) deliveries.",no
Examples of how our safe and sustainable products offer alternatives to fossil materials are shown on the right.,yes
> Invest 90% of CAPEX in low carbon activities according to the European taxonomy of sustainable activities5.,yes
We're adding what we said CNX Gas was going to do and then what Dominion was going to do on a prorated basis.,no
"Well, we're in the market right now with America XII, so I'd expect that we're raising capital over the course of the next 12 months plus.",no
"The exploration success is in line with Eni’s exploration strategy of focusing on near- field incremental activities, leveraging on the synergies with existing facilities, reducing the time-to-market and providing for additional gas to the local market and export.",no
"For coal combustion byproduct, which includes coal ash, we expect regulations to be final by the first quarter of next year.",no
The aim of the acquisition is to expand the range of polycarbonate materials for major industries to include composites made from continuous fiber-reinforced thermoplastics.,no
"They can handle highly-seasonal electricity use, guarantee a secure supply and mitigate intermittent renewable energy input into electrical systems that cannot be switched to imports in case of peak demand or production issues.",no
"This, in turn, has meant that the wind power industry has become more and more competitive when compared to other energy sources and today, wind finds itself able to compete with the likes of coal and gas.",no
"No, Paul, they've continued to expand their position there and continue to acquire acreage in the second quarter.",no
"In addition, GHG emissions from material and fuel procurement totaled 6.15 million tons, of which the procurement of energy sources accounted for nearly 90%.",no
"In addition, the Company positions initiatives for Based Targets initiative, an international initiative to keep global temperature increase below 2 degrees Celsius compared to pre-industrial revolution in order to transition to the low-carbon economy, and then obtained approval.",yes
TOTO Group conducts corporate activities with the aim of continuing to contribute to society and to the earth’s environment.,yes
"The site is also eligible for renewable incentives, which, when combined with the power savings and income from the exported power, are worth over £2 million.",no
Further information on Shell’s contribution to COVID-19 relief efforts will be published in the Shell Sustainability Report in April 2021.,no
Appendix 73 Why Climate change and the transition to a low-carbon society can have a significant impact on our business.,no
"Renamed the CSR Report in 2010, the annual publication serves as a vital medium designed to communicate Minebea’s CSR and environmental policies as well as related activities.",no
"We have already begun shipping under these contracts, and anticipate ramping up to 100,000 barrels per day through 2019.",no
"Many of Uniper’s power plants also produce heat for district-heating systems as well as process steam, compressed air, and other services for nearby industrial enterprises.",no
India will lead China in terms of market growth because the demand for coal in India’s power production sector will rise exponentially while local coal production cannot meet the demand.,no
"In January 2012, we concluded an LNG sales and purchase agreement with the Ichthys LNG Project, in which we also acquired our first upstream equity interest.",no
Toyota Industries works with consolidated subsidiaries in and outside Japan to promote environmental activities on a global scale.,yes
Dave spoke about some of the advantages that we've got particularly with our low VOC.,no
"We had reevaluated our growth expectations for the transportation industry in 2012, and had talked about roughly a 4% penetration of EV vehicles really of all types, EVs, HEVs, PHEVs in the transportation sector by 2020.",no
"We have taken actions to reduce our exposure to lower power prices, by exiting the majority of our merchant generation and pursuing long-term contracts for our future growth projects.",no
We discontinued the use of a coal-fired power plant at Kennecott and are also working to reduce our environmental footprint at both of our diamonds operations.,yes
"We were able to achieve this by reducing our overall water consumption needs, reutilising our pit waters and increasing the sourcing of water from our saline aquifers.",yes
"I think the card industry underestimated, when it kind of rushed back into the market, underestimated how weak the demand was.",no
"ALD Automotive supports its corporate clients by providing eco-friendly fleets and mobility solutions whether it be to reduce fleet emissions, improve safety on the road or promote new mobility solutions.",yes
"We promote environmental conservation worldwide and work together to reduce environmental loads by conducting eco- friendly development, design, production and logistics.",yes
"With the new structure, the Group, centered on the holding company, is aggressively developing business activities and aiming to fulfill its unifying mission of safe and reliable energy supply, and contribute to society.",no
"In addition, Nikon aims that its Science Based Targets will be validated, an international initiative that encourages com- panies to set science-based targets with the aim of keeping the average global temperature increase from pre-industrial times below 2°C.",yes
"As you know, we're a synthetic drug, and we're not metabolized, but we are renally excreted.",no
"1,3-BAC easy to use, and its fast curing speed reduces the environmental impact of the production process.",yes
"Well, I would guess that at this point, something like 75% or 80% of our revenue and backlog is industrial gas-related non-LNG.",no
"Our aim is to be a responsible corporate citizen, fully aware of the impact we have on our stakeholders, society as a whole, and environment.",no
"8 Annual Report 2020 Business description 65 In addition to the hydropower plants, we also operate Tonstad Windfarm (208 MW/0.7 TWh), from which we purchase all volumes as produced, balancing and optimizing production against our own hydropower production.",no
This 100% Renault motor de- signed by the engineers at the Technocentre is manufactured at the Cléon plant.,no
"For high yield, the call is for $285 billion of issuance, flat to up 10% from '17.",no
"But you're certainly not going to see it grow above 3%, and you've seen us come in pretty flat in the last 2 years well below the 3% target we set.",no
Prajwala- Sanitation (Madhya Pradesh) This programme is an extension of Project Prajwala in 200+ KGBVs of Madhya Pradesh.,no
I would say we do still have a robust pipeline of energy efficiency opportunities and so I think there are -- there is a strong pipeline there that gives us confidence that we will win additional new contracts.,no
The HealthCare divisions maintain their own active dialogue with their specific customer groups.,no
"To this end, we will continue making strategic investments in high-purity liquefied hydrogen chloride to adequately address rising demand from the semiconductor sector, mainly in East Asia.",no
"Increasingly so, farmers and producers across the globe are leveraging digital technologies to efficiently manage their operations and to harness valuable data insights in order to optimize production and output.",no
Companies’ climate strategy such as ambitious decarbonisation targets are also outside the scope of the model.,no
"However, these efforts could not offset the substantial rise in thermal power fuel costs and other costs arising from the suspension of our nuclear plants.",no
"Under the Strategic Plan 2018-2022, the company continues to optimise the businesses through additional efciency measures, with the commitment to cut annual operating expenses by Euros 500 million in 2022.",no
"We will work to attain sustainable growth based on our Long-term Strategic Vision and our medium-term corporate strategy, which is designed to realize the vision.",no
"Since 2019, we have also piloted a waste traceabil- ity app to optimize waste management and promote the circular economy in the vicinity.",yes
"It also then puts us on a transition path to getting towards our pyro-hemi shoulder, which is a few years after that.",no
"And over time, our goal is to expand the test menu and to have the potential with collaborators to reach patients in the home.",no
The minimum requirements are de- signed to ensure that institutions always hold sufficient liabilities so that they can use the bail-in tool if there is a threat to their continued existence as a going concern.,no
—— We will design our future assets with electric heating systems so we can move away from gas consumption and reduce our impact on London air quality.,yes
That in and of itself reduces the available clean corn to our ethanol facilities.,no
"Carbon footprint To determine greenhouse gas emissions throughout the entire value chain, including indirect emissions produced by third parties upstream and downstream of group activities. •",no
Continual reduction of the amount of GHG emissions through steady implementation of Science Based Targets and the Environmental Action Plan.,yes
"So the 600,000 tons includes a decent amount of thermal coal that the previous owner was taking out of the mines.",no
CSR Department) The Environmental Management Committee promotes environment-friendly and balanced management which contributes to sustainable society throughout its overall corporate activities.,yes
"But what I will say is over the past 12 months, we've achieved about a 50% reduction in per foot drilling costs and a 30% reduction in per stage completion costs.",no
"That may not be an indication of client demand by the way, it could be an indication of efficiencies of management and the engagement.",no
"HFCs, PFCs and SF6 are almost absent from the Group’s emissions or are considered as non-material, and are therefore no longer counted in 2018.",no
"I'm not going to give the specific details, but the '10 savings are within the $180 million to $200 million cumulative goal that we have for 2010.",no
"These power plants are to be closed by 2025, according to the decisions of the UK government. (",no
"SDG 15 For instance, energy-saving initiatives and improvements to our buildings helped us to cut our power consumption by around 137 GWh in 2020 – enough to satisfy the annual electricity needs of over 34,000 private households.",yes
"La Ruche, Guerlain’s new skincare and make-up manufac- turing facility, is supporting the brand’s expansion and showcasing its environmental and social engagement.",no
"Emirates which will have a capacity to produce 909,000 m3 of water per day.",no
Recla- Boliden Annual Report 201548 Environment mation and soil conservation work are conducted in parallel with operations.,yes
Embedding sustainability in innovation Borealis does not just make raw materials.,no
"So as we did that analysis, it broadened the number of prospective markets for us.",no
"By optimising CO2 washing in ammonia production, Borealis Linz reduced its annual electricity consumption by 13.3 GWh, equivalent to the consumption of more than 1,000 households.",yes
"It actually is about 40% less radioactive than uranium ore that comes out of the ground, because it's had the U-235 or the more reactive component removed.",no
"And Catalent strategy certainly has been to remain focused on the 5,000-liter or less, where we can make some very reasonable CapEx investments and get significant growth as we've seen in our Madison facility.",no
And we worked pretty hard getting our leverage down to a much more manageable level.,no
"2020 Performance: 2020 production was 100.3 MMboe representing Woodside’s highest-ever annual production, exceeding the 100 MMboe internal target.",no
"The forests witness an increase in biodiversity as AC Energy and its wind farms, North Luzon Renewables and NorthWind, with the help of the locals, create an ecologically diverse landscape.",yes
"Given the current trajectory of global emissions, successfully achieving the 2050 target requires interim goals and plans for meaningful action by a range of stakeholders.",no
"As part of the ""Coup de Pouce Chauffage"" (3) scheme, EDF launched in January 2019 its ""Mon chauffage durable"" offer, to finance replacing ageing heating systems by more efficient ones.",yes
"In the U.S., to date, stop-start engine technology has saved GM customers 293 million gallons of fuel and 2.61 million metric tons of CO2 emissions over the lifetime operation of their vehicles.",yes
So we do like to keep that married to an extent.,no
Our latest set of Shell scenarios was one of the many variables used in guiding the updated strategy which we announced in February 2021.,no
"The Chinese group, the world’s largest electric energy company, is our majority shareholder and is the driver behind the integration of the most advanced technologies in the electric sector, which boosts the operational efficiency of all businesses.",no
"This enables Airbus to measure its environmental impact, follow its performance and communicate information on environmental matters to internal and external stakeholders.",no
This program notably aims at assessing opportunities to integrate low carbon footprint components into the Group’s formulations while improving the recyclability of used products.,yes
"Our controllers are capable of supporting both 12-volt and 48-volt topology, and the design wins that we have are from both flavors.",no
"So we tried to take that impact out of the -- that was related to 2017 out of the margin, just to give a more normalized rate, which would have been that 3.70%.",no
"In 2017, the group ran a Green Light Card campaign, through which it distrib- uted reflective cards for kids’ backpacks to reduce the risk of car accidents.",no
" Diversification of Resource Suppliers Currently, Tokyo Gas has long-term procurement agreements to import LNG from 10 projects in five countries.",no
"It is quite remarkable that our “smart phones” use much more sophisticated energy efficiency algorithms than our homes or buildings, while using a very small fraction of the electricity that our real estate infrastructure consumes.",no
So I think our view on China for '13 is good.,no
Only selected upstream emissions are measured directly and hence included in our corporate target.,no
"And in the fourth quarter, we could have a fourth quarter weather pattern exactly the same way as we did last year.",no
Our operating oil sands assets and two of our natural gas processing facilities are subject to the CCIR and are therefore exempt from the Alberta carbon levy.,no
This is interesting because what we heard was basically this was a revenue measure more than having -- because of the -- it's not extensive to all sources of CO2.,no
"Our emphasis remains on our philosophy of ‘Zero Harm, Zero Waste and Zero Discharge’.",yes
"We had commented -- in the prepared remarks, I think that you'll see it -- I think the comment, the characterization was that would largely be gone at this point.",no
"And quite frankly, it's stronger just because market size, sales quality, new products, et cetera.",no
"But because of the type 2 diabetes program that we are co-funding, that will be -- a large portion of that cost will be incurred this year.",no
The coal plant is one that we've been working on for a number of years and we're proud of where we've come with regard to the coal plant as we try to point out.,no
Turnarounds at the NRC and GWA offshore platforms were completed ahead of schedule and enabled additional production due to alignment with a planned KGP Train 4 turnaround.,no
"We are going ahead with our 70,000 barrel a day crude -- light crude unit at Corpus and our 90,000 barrel a day crude unit in Houston.",no
"We also increased the amount of coal we have hedged and as you saw a little bit of fuel surcharge, so frankly all three of those things would have gone into the mix.",no
"I mean, for us, it's probably stepping down modestly, and part of that's because we have been taken corrective action pricing to some extent, that's behind us at least with a certain number of our account base.",no
"With Ubleam, which specializes in the Internet of Things, Air Liquide is co-developing in particular a tagging technology that transforms gas cylinders into connected objects.",no
We still have work to do to get our inventory full in line with our comp expectations.,no
Such group-wide structural reform significantly improved the profit margins of Information & Communication and Material Solutions.,no
"Subsequently, the new NPDES permit was received in 2017 and new WTP design will re-commence in 2018.",no
"Our Systems business posted impressive figures in 2014, both in terms of sales growth and profitability.",no
"With a length of 2.7 kilometres, the bridge is the second longest railway bridge in Germany, and is part of the largest railway project under the “German Unification Transportation Projects” programme.",no
"Sure, so you can see our aim is to be operating the business below our 3x debt leverage.",no
We are working on plans to plant saplings across 20 hectares of land over the course of 10 years.,no
"And so you remember, our Northeast Wattenberg position is plus or minus 50% on oil cut, and the Hereford is plus or minus an 80% oil cut.",no
"Latin America is okay, it's going to be stronger in the second half than the first half.",no
"I think we've got -- the last couple of years, we've got a really good game plan in place on Charcoal.",no
We have been meeting those expectations each year – and even reaching our cash cost reduction target a year early.,no
"I mean, we've moved through the Easter period where there generally tends to be a softness in relation to the overall market.",no
Repeatedly carrying out this process has resulted in our Satisfaction DI* improv- ing from 40% in the year ended March 2014 to 47% in the year ended March 2016.,no
"Yes, we still believe that we will have some year-over-year growth in land spend.",no
"As far as the inflation, the passive inflation, we're able to do it mostly on regular retails.",no
"We believe in acting responsibly and sustainably in all areas of our business and work to make a difference in areas as diverse as environmental impact, diversity, affordability, mental health and wellbeing.",yes
"They were designed specifically to initiate on-ground action towards conservation of environment, in line with the Green Good Deeds Campaign, spearheaded by the Ministry of Environment, Forests and Climate Change, Government of India.",yes
"The baseline is an estimate, as client or asset level emissions data is currently not available in all cases and where appropriate, we have used internal and external data and proxies to fill these data gaps.",no
The GM&T World Business Unit invests in biomethane production units and develops stations for distributing Natural bio-Gas for Vehicles and hydrogen to support clean mobility and in particular the deployment of hydrogen energy.,yes
"In addition, it is also an import- ant measure against global warming because it does not emit CO2 when generating.",yes
"The tax rate was 38.44% for the third quarter because we had to do a little catching up, right?",no
Energy G4-DMA We are constantly seeking to increase the en- ergy efficiency of our production processes with- in our business and to expand the use of renew- able resources in our energy mix.,yes
"In 2018, UOB was appointed the co-lead arranger for Sinar Kamiri’s Green Sustainable and Responsible Investment (SRI) Sukuk Wakalah fundraising exercise of up to RM245.0 million.",no
"And for us, the biggest impact is on our brass products for those who are curved stop and a number of smaller products.",no
"The Quantitative Strategies (IQS) team, in collaboration with the Global ESG team, designed a low-carbon portfolio that incorporated the desired carbon reduction targets, while keeping minimal distance to the UK capitalisation-weighted market benchmark.",yes
"MARKET Our marketing and trading strategy is to build a diverse customer portfolio and pursue additional sales agreements, underpinned by reliable domestic gas and LNG production and supplemented by globally sourced volumes.",no
"This is the one area, Julie, that it could just dry up and we could see that drop off.",no
"By building and operating new hydrogen refueling stations, we will also promote the diffusion of fuel cell vehicles with the aim of realizing a hydrogen society.",yes
The USD 2.7 billion investment will raise our pulp production capacity by more than 50% and significantly contribute to future earnings.,no
"In addition to the main island of Okinawa, we have established independent internal combustion power-generating facilities in 10 remote islands including Ishigaki and Miyako islands.",no
And 5% finally on the grid in U.S. in August and the ceilings was effective in August.,no
Planning for these works includes ensuring that the cooling infrastructure meets potential future needs in a climate change impacted future.,no
I think everybody's pretty clear on trying to do coal in the U.S. without the CO2 solution.,no
"For 145 years, Rio Tinto has been pioneering the production of materials essential to human progress.",no
"By Scope category, Scope 3 carbon emissions account for twice those of Scope 1 and 2.",no
"The mix was moderately positive at about $4 million and price was $56 million for the quarter and then, of course, our fuel was up $65 million quarter-over-quarter.",no
"Yes, I don't know it will be quite as strong with the second quarter, Laurence, but I think we did see some [shifting].",no
"I mean I think one is obviously, performance, in the last couple of quarters in particular this quarter, across pretty much all the vectors, right?",no
"That's something that we're going to continue to optimize over the course of the year with these cost reductions as well as just obviously, optimizing in general what we tend to do.",no
"Honda had been the only previous company that allowed more of it, made production vehicles consuming natural gas, so this is, I think, a big step forward.",no
"Forward foreign exchange contracts are used purely as a hedging tool, where an active market for the relevant currency exists, to minimise the Group’s exposure to movements in exchange rates on firm commitments and specific transactions.",no
Anyone who owns their own home does not necessarily have to feed the solar electricity generated on the roof into the grid today as they did before.,no
"Knowing this will allow us to effectively mitigate some of the risks associated with a changing climate and potentially take advantage of the opportunities, from both a pricing, business planning and capital management perspective.",no
"But I would say that with our primary focus this year being on delevering, we're not really looking actively to put new cash to work hard or to acquire additional assets with debt.",no
